# energy	norm
12734.81	3.42E-02
12735.88	3.31E-02
12736.89	3.35E-02
12737.9	3.28E-02
12738.95	3.30E-02
12739.92	3.25E-02
12741.05	3.26E-02
12742.04	3.19E-02
12743.04	3.19E-02
12743.95	3.18E-02
12745.05	3.19E-02
12746.05	3.11E-02
12747.06	3.12E-02
12748.01	3.10E-02
12749.03	3.12E-02
12750.04	2.99E-02
12751.06	3.08E-02
12752.03	3.05E-02
12753.04	3.05E-02
12754.03	3.01E-02
12754.95	2.99E-02
12755.97	2.99E-02
12757.04	2.92E-02
12758	2.93E-02
12759.05	2.88E-02
12759.98	2.84E-02
12761	2.84E-02
12762.04	2.83E-02
12762.98	2.77E-02
12764.04	2.78E-02
12765.04	2.77E-02
12766.07	2.81E-02
12767.03	2.74E-02
12768.05	2.72E-02
12769.03	2.63E-02
12770.03	2.65E-02
12771.06	2.68E-02
12772.05	2.64E-02
12773.03	2.64E-02
12774.02	2.58E-02
12775.03	2.54E-02
12776	2.58E-02
12777	2.57E-02
12778.04	2.51E-02
12779	2.51E-02
12780.04	2.46E-02
12781.02	2.50E-02
12782.03	2.45E-02
12783.05	2.42E-02
12784.06	2.39E-02
12785.06	2.38E-02
12786.02	2.31E-02
12787.03	2.33E-02
12788.02	2.33E-02
12789.02	2.26E-02
12789.98	2.31E-02
12791.02	2.20E-02
12792.02	2.25E-02
12793.01	2.26E-02
12794.04	2.25E-02
12795	2.19E-02
12796.02	2.21E-02
12797.01	2.12E-02
12798.01	2.12E-02
12798.99	2.16E-02
12800	2.04E-02
12801.01	2.08E-02
12802.03	2.06E-02
12803.01	2.10E-02
12803.99	2.00E-02
12805.02	2.01E-02
12806.01	2.03E-02
12807.03	2.03E-02
12808.01	1.94E-02
12809.01	1.94E-02
12810.02	1.88E-02
12811.02	1.92E-02
12812.02	1.89E-02
12813	1.86E-02
12814	1.82E-02
12815.01	1.79E-02
12816.03	1.80E-02
12817.03	1.71E-02
12817.99	1.72E-02
12819.01	1.77E-02
12820.02	1.78E-02
12821.01	1.69E-02
12822.01	1.68E-02
12823.01	1.67E-02
12824.02	1.62E-02
12825.02	1.59E-02
12826.01	1.62E-02
12827.01	1.61E-02
12828.01	1.60E-02
12829.03	1.57E-02
12830.03	1.51E-02
12831.01	1.59E-02
12831.98	1.52E-02
12833.01	1.47E-02
12834.03	1.47E-02
12835.02	1.48E-02
12836	1.38E-02
12837.02	1.40E-02
12838.06	1.36E-02
12839.04	1.30E-02
12840.03	1.30E-02
12841	1.31E-02
12842.02	1.28E-02
12843.02	1.28E-02
12843.99	1.29E-02
12845.01	1.24E-02
12845.98	1.18E-02
12847.02	1.20E-02
12848.01	1.21E-02
12848.99	1.20E-02
12850	1.17E-02
12851.02	1.21E-02
12852.04	1.09E-02
12853.03	1.17E-02
12853.98	1.08E-02
12855	1.07E-02
12856.03	1.12E-02
12857.02	1.07E-02
12858	1.08E-02
12859.01	9.80E-03
12860	1.04E-02
12861.04	9.63E-03
12862.04	9.53E-03
12863.05	8.77E-03
12864.02	9.50E-03
12865.01	9.51E-03
12866.05	9.43E-03
12867.03	8.71E-03
12868.05	8.56E-03
12869.04	8.70E-03
12870.03	7.52E-03
12871.06	8.11E-03
12872.01	7.65E-03
12873.01	7.32E-03
12874	7.81E-03
12875	7.15E-03
12876.01	6.87E-03
12877	7.17E-03
12878.01	6.68E-03
12879.02	6.82E-03
12880.03	6.86E-03
12881.02	6.18E-03
12882.02	5.85E-03
12883.04	5.18E-03
12884.04	6.10E-03
12885.01	6.18E-03
12886.01	5.70E-03
12887.02	4.91E-03
12888.03	4.68E-03
12889.04	4.80E-03
12890	5.21E-03
12891.04	4.41E-03
12892.04	4.00E-03
12893.03	4.28E-03
12894.01	4.52E-03
12895.02	4.39E-03
12896.03	4.11E-03
12897.04	2.78E-03
12898.02	4.95E-03
12899.03	3.13E-03
12900.01	3.54E-03
12901.02	2.87E-03
12902.05	3.02E-03
12903	2.28E-03
12904	2.16E-03
12905.02	3.07E-03
12906.04	2.51E-03
12907.03	2.37E-03
12908	1.39E-03
12909.04	1.35E-03
12910.04	1.73E-03
12911.02	2.08E-03
12912	2.45E-03
12913	7.53E-04
12914.03	1.37E-03
12915.03	9.74E-04
12916.03	1.26E-03
12917.03	1.20E-03
12918.02	1.27E-03
12919.04	-6.10E-05
12920.02	-3.90E-04
12921.02	2.91E-04
12922.04	5.88E-04
12923.05	-7.77E-04
12924.03	7.26E-04
12925.02	3.46E-04
12926.02	1.05E-04
12927.03	-7.05E-04
12928.03	-9.70E-04
12929	-8.36E-04
12930.02	-7.13E-04
12931.03	-1.38E-03
12932.03	-1.00E-03
12933.02	-9.20E-06
12934	-2.16E-03
12935.04	-1.15E-03
12936.04	-1.74E-03
12937	-8.24E-04
12938.02	-2.30E-03
12939.02	-1.25E-03
12940.04	-2.42E-03
12941.03	-2.25E-03
12942	-1.83E-03
12943.02	-2.03E-03
12944.03	-1.80E-03
12945.04	-2.59E-03
12946.01	-2.80E-03
12947.03	-3.22E-03
12948.03	-3.39E-03
12949.07	-2.20E-03
12950.02	-2.99E-03
12951.02	-1.41E-03
12952.06	-2.14E-03
12953.06	-2.49E-03
12954.03	-2.75E-03
12955.02	-2.31E-03
12956.04	-2.58E-03
12957.05	-1.04E-03
12958.02	-3.87E-03
12959.02	-2.32E-03
12960.03	-3.25E-03
12961.03	-2.90E-03
12962.04	-3.75E-03
12963.01	-3.40E-03
12964.01	-3.10E-03
12965.04	-4.19E-03
12966.03	-3.26E-03
